imagen,pixeles,vertices,aristas,caras,componentes,agujeros,codigo_f8,codigo_f4,codigo_vcc,codigo_3ot,N1,N3,N2h,N2v,euler_vef,euler_poincare,vcc_x,3ot_x
Cuadrado sólido,1600,1681,3280,1600,1,0,66666666666666666666666666666666666666600000000000000000000000000000000000000022222222222222222222222222222222222222244444444444444444444444444444444444444,66666666666666666666666666666666666666600000000000000000000000000000000000000022222222222222222222222222222222222222244444444444444444444444444444444444444,0000000000000000000000000000000000000010000000000000000000000000000000000000010000000000000000000000000000000000000010000000000000000000000000000000000000,0000000000000000000000000000000000000011111111111111111111111111111111111111122222222222222222222222222222222222222200000000000000000000000000000000000000,3,0,0,0,1,1,0.75,0.0
Círculo sólido,2809,2928,5736,2809,1,0,54454455455455556556556656656666666666666676676677677677770770770070070000000000000010010011011011112112112212212222222222222232232233233233334334334434434444444444444,4444446666666666666666666666666600000000000000000000000000222222222222222222222222224444444444444444444,000001000000000000000000000000010000000000000000000000000100000000000000000000000001000000000000000000,000001111111111111111111111111122222222222222222222222222000000000000000000000000001111111111111111111,4,0,0,0,1,1,1.0,0.0
Dona,2112,2288,4400,2112,1,1,54454455455455556556556656656666666666666676676677677677770770770070070000000000000010010011011011112112112212212222222222222232232233233233334334334434434444444444444100000000007077077677676666666666565565545545444444444434334332332322222222221211211011,44444466666666666666666666666666000000000000000000000000002222222222222222222222222244444444444444444440000000000006666666666666644444444444444222222222222220,0000010000000000000000000000000100000000000000000000000001000000000000000000000000010000000000000000002000000000003000000000000030000000000000300000000000003,0000011111111111111111111111111222222222222222222222222220000000000000000000000000011111111111111111111111111111110000000000000022222222222222111111111111110,4,1,0,0,0,0,0.75,0.0
Rectángulo hueco,456,912,1368,456,2,2,666666666666666666666666666666666666666666666666666666666666660000000000000000000000000000000000000000000000000000000000000022222222222222222222222222222222222222222222222222222222222222444444444444444444444444444444444444444444444444444444444444410000000000000000000000000000000000000000000000000000000000007666666666666666666666666666666666666666666666666666666666666544444444444444444444444444444444444444444444444444444444444432222222222222222222222222222222222222222222222222222222222266666666666666666666666666666666666666666666666666660000000000000000000000000000000000000000000000000000222222222222222222222222222222222222222222222222222244444444444444444444444444444444444444444444444444410000000000000000000000000000000000000000000000000076666666666666666666666666666666666666666666666666654444444444444444444444444444444444444444444444444432222222222222222222222222222222222222222222222222,6666666666666666666666666666666666666666666666666666666666666600000000000000000000000000000000000000000000000000000000000000222222222222222222222222222222222222222222222222222222222222224444444444444444444444444444444444444444444444444444444444444000000000000000000000000000000000000000000000000000000000000666666666666666666666666666666666666666666666666666666666666444444444444444444444444444444444444444444444444444444444444222222222222222222222222222222222222222222222222222222222226666666666666666666666666666666666666666666666666666000000000000000000000000000000000000000000000000000022222222222222222222222222222222222222222222222222224444444444444444444444444444444444444444444444444440000000000000000000000000000000000000000000000000066666666666666666666666666666666666666666666666666444444444444444444444444444444444444444444444444442222222222222222222222222222222222222222222222222,000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000300000000000000000000000000000000000000000000000000000000000300000000000000000000000000000000000000000000000000000000000300000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000030000000000000000000000000000000000000000000000000300000000000000000000000000000000000000000000000003000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111111111111111222222222222222222222222222222222222222222222222222222222222220000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000222222222222222222222222222222222222222222222222222222222222111111111111111111111111111111111111111111111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111111111111111111111111111111111111111111111111122222222222222222222222222222222222222222222222222220000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000022222222222222222222222222222222222222222222222222111111111111111111111111111111111111111111111111110000000000000000000000000000000000000000000000000,6,3,0,0,0,0,0.75,0.0
Dos cuadrados,800,882,1680,800,2,0,666666666666666666600000000000000000002222222222222222222444444444444444444666666666666666666600000000000000000002222222222222222222444444444444444444,666666666666666666600000000000000000002222222222222222222444444444444444444666666666666666666600000000000000000002222222222222222222444444444444444444,00000000000000000010000000000000000001000000000000000000100000000000000000100000000000000000010000000000000000001000000000000000000100000000000000000,00000000000000000011111111111111111112222222222222222222000000000000000000111111111111111111122222222222222222220000000000000000000111111111111111111,7,0,0,0,2,2,1.75,0.0
Dos círculos,1394,1512,2904,1394,2,0,5455456556566666666667677670770700000000001011012112122222222223233234334344444444454554565565666666666676776707707000000000010110121121222222222232332343343444444444,44666666666666660000000000000022222222222222444444444444466666666666666000000000000002222222222222244444444444,0100000000000001000000000000010000000000000100000000000010000000000000100000000000001000000000000010000000000,0111111111111112222222222222200000000000000111111111111122222222222222000000000000001111111111111122222222222,8,0,0,0,2,2,2.0,0.0
Círculo y cuadrado,1097,1197,2292,1097,2,0,54554565565666666666676776707707000000000010110121121222222222232332343343444444444666666666666666666600000000000000000002222222222222222222444444444444444444,4466666666666666000000000000002222222222222244444444444666666666666666666600000000000000000002222222222222222222444444444444444444,010000000000000100000000000001000000000000010000000000100000000000000000010000000000000000001000000000000000000100000000000000000,011111111111111222222222222220000000000000011111111111222222222222222222200000000000000000001111111111111111111222222222222222222,8,0,0,0,2,2,2.0,0.0
Círculo con hueco rectangular,2809,2928,5736,2809,1,0,54454455455455556556556656656666666666666676676677677677770770770070070000000000000010010011011011112112112212212222222222222232232233233233334334334434434444444444444,4444446666666666666666666666666600000000000000000000000000222222222222222222222222224444444444444444444,000001000000000000000000000000010000000000000000000000000100000000000000000000000001000000000000000000,000001111111111111111111111111122222222222222222222222222000000000000000000000000001111111111111111111,4,0,0,0,1,1,1.0,0.0
3 círculos,915,1032,1944,915,3,0,554655666666667760770000000011021122222222332433444444455465566666666776077000000001102112222222233243344444445546556666666677607700000000110211222222223324334444444,466666666660000000000222222222244444444466666666660000000000222222222244444444466666666660000000000222222222244444444,10000000001000000000100000000010000000010000000001000000000100000000010000000010000000001000000000100000000010000000,11111111112222222222000000000011111111122222222220000000000111111111122222222200000000001111111111222222222200000000,12,0,0,0,3,3,3.0,0.0
3 cuadrados,675,768,1440,675,3,0,666666666666660000000000000022222222222222444444444444466666666666666000000000000002222222222222244444444444446666666666666600000000000000222222222222224444444444444,666666666666660000000000000022222222222222444444444444466666666666666000000000000002222222222222244444444444446666666666666600000000000000222222222222224444444444444,00000000000001000000000000010000000000000100000000000010000000000000100000000000001000000000000010000000000001000000000000010000000000000100000000000001000000000000,00000000000001111111111111122222222222222000000000000011111111111111222222222222220000000000000011111111111112222222222222200000000000000111111111111112222222222222,11,0,0,0,3,3,2.75,0.0
Dos donas,1256,1408,2664,1256,2,2,5455456556566666666667677670770700000000001011012112122222222223233234334344444444410000777666655544443332222154554565565666666666676776707707000000000010110121121222222222232332343343444444444100007776666555444433322221,4466666666666666000000000000002222222222222244444444444000066664444222244666666666666660000000000000022222222222222444444444440000666644442222,010000000000000100000000000001000000000000010000000000200030003000300010100000000000001000000000000010000000000000100000000002000300030003000,011111111111111222222222222220000000000000011111111111111100002222111122000000000000001111111111111122222222222222000000000000000222211110000,9,2,0,0,0,0,1.75,0.0
Dona y cuadrado,1340,1497,2836,1340,2,1,66666666666666666660000000000000000000222222222222222222244444444444444444454545545565565656666666666667676776770770707000000000000101011011211212122222222222232323323343343434444444444410000000077076776666666655654554444444433432332222222211210,666666666666666666600000000000000000002222222222222222222444444444444444444444666666666666666666000000000000000000222222222222222222444444444444440000000006666666666444444444422222222220,00000000000000000010000000000000000001000000000000000000100000000000000000000100000000000000000100000000000000000100000000000000000100000000000002000000003000000000300000000030000000003,00000000000000000011111111111111111112222222222222222222000000000000000000000111111111111111111222222222222222222000000000000000000111111111111111111111110000000000222222222211111111110,7,1,0,0,1,1,1.5,0.0
Círculo y dona,1249,1392,2640,1249,2,1,5455456556566666666667677670770700000000001011012112122222222223233234334344444444410000007777666666555544444433332222221154554565565666666666676776707707000000000010110121121222222222232332343343444444444,44666666666666660000000000000022222222222222444444444440000006666664444442222224466666666666666000000000000002222222222222244444444444,0100000000000001000000000000010000000000000100000000002000003000003000003000001010000000000000100000000000001000000000000010000000000,0111111111111112222222222222200000000000000111111111111111110000002222221111112200000000000000111111111111112222222222222200000000000,9,1,0,0,1,1,2.0,0.0
3 donas,780,936,1716,780,3,3,554655666666667760770000000011021122222222332433444444410000776666554444332222554655666666667760770000000011021122222222332433444444410000776666554444332222554655666666667760770000000011021122222222332433444444410000776666554444332222,466666666660000000000222222222244444444000066664444222246666666666000000000022222222224444444400006666444422224666666666600000000002222222222444444440000666644442222,10000000001000000000100000000010000000200030003000300011000000000100000000010000000001000000020003000300030001100000000010000000001000000000100000002000300030003000,11111111112222222222000000000011111111111100002222111120000000000111111111122222222220000000000002222111100001222222222200000000001111111111222222222222111100002222,14,3,0,0,0,0,2.75,0.0
Rectángulo hueco y círculo,761,1256,2016,761,3,2,6666666666666666666666666666666666666666666666666666666666666600000000000000000000000000000000000000000000000000000000000000222222222222222222222222222222222222222222222222222222222222224444444444444444444444444444444444444444444444444444444444444100000000000000000000000000000000000000000000000000000000000076666666666666666666666666666666666666666666666666666666666665444444444444444444444444444444444444444444444444444444444444322222222222222222222222222222222222222222222222222222222222666666666666666666666666666666666666666666666666666600000000000000000000000000000000000000000000000000002222222222222222222222222222222222222222222222222222444444444444444444444444444444444444444444444444444100000000000000000000000000000000000000000000000000766666666666666666666666666666666666666666666666666544444444444444444444444444444444444444444444444444322222222222222222222222222222222222222222222222225546556666666677607700000000110211222222223324334444444,6666666666666666666666666666666666666666666666666666666666666600000000000000000000000000000000000000000000000000000000000000222222222222222222222222222222222222222222222222222222222222224444444444444444444444444444444444444444444444444444444444444000000000000000000000000000000000000000000000000000000000000666666666666666666666666666666666666666666666666666666666666444444444444444444444444444444444444444444444444444444444444222222222222222222222222222222222222222222222222222222222226666666666666666666666666666666666666666666666666666000000000000000000000000000000000000000000000000000022222222222222222222222222222222222222222222222222224444444444444444444444444444444444444444444444444440000000000000000000000000000000000000000000000000066666666666666666666666666666666666666666666666666444444444444444444444444444444444444444444444444442222222222222222222222222222222222222222222222222466666666660000000000222222222244444444,000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000300000000000000000000000000000000000000000000000000000000000300000000000000000000000000000000000000000000000000000000000300000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000030000000000000000000000000000000000000000000000000300000000000000000000000000000000000000000000000003000000000000000000000000000000000000000000000000110000000001000000000100000000010000000,000000000000000000000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111111111111111222222222222222222222222222222222222222222222222222222222222220000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000222222222222222222222222222222222222222222222222222222222222111111111111111111111111111111111111111111111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111111111111111111111111111111111111111111111111122222222222222222222222222222222222222222222222222220000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000022222222222222222222222222222222222222222222222222111111111111111111111111111111111111111111111111110000000000000000000000000000000000000000000000000122222222220000000000111111111122222222,11,3,0,0,1,1,2.0,0.0
